Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,21,historical delay in payment,education,3414,< 100 DM,<1 year,2,male:single,none,1,building society savings agreement/ life insurance,26,none,own,2,skilled employee,1,None,Yes,High
No checking account,30,all credits at this bank paid back,used car,7485,no savings,unemployed,4,female:divorced/separated/married,none,1,real estate,53,bank,own,1,management/self employed,1,yes,Yes,High
0 DM,12,existing credits paid,furniture/equipment,2577,< 100 DM,1-4 years,2,male:divorced/separated,none,1,car or other,42,none,own,1,skilled employee,1,None,Yes,Low
0 DM,6,critical account,radio/television,338,500-1000 DM,>7 years,4,male:single,none,4,car or other,52,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,existing credits paid,radio/television,1963,< 100 DM,4-7 years,4,male:single,none,2,car or other,31,none,rent,2,management/self employed,2,yes,Yes,Low
0 DM,21,critical account,new car,571,< 100 DM,>7 years,4,male:single,none,4,real estate,65,none,own,2,skilled employee,1,None,Yes,Low
No checking account,36,historical delay in payment,business,9572,< 100 DM,<1 year,1,male:divorced/separated,none,1,car or other,28,none,own,2,skilled employee,1,None,Yes,High
0-200 DM,36,historical delay in payment,business,4455,< 100 DM,1-4 years,2,male:divorced/separated,none,2,real estate,30,stores,own,2,management/self employed,1,yes,Yes,High
0 DM,21,all credits at this bank paid back,new car,1647,no savings,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,40,none,own,2,unskilled/resident,2,None,Yes,High
No checking account,24,critical account,furniture/equipment,3777,>1000 DM,1-4 years,4,male:single,none,4,real estate,50,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,critical account,new car,884,< 100 DM,>7 years,4,male:single,none,4,car or other,36,bank,own,1,skilled employee,2,yes,Yes,High
No checking account,15,critical account,radio/television,1360,< 100 DM,1-4 years,4,male:single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,9,all credits at this bank paid back,used car,5129,< 100 DM,>7 years,2,female:divorced/separated/married,none,4,unknown/no property,74,bank,free,1,management/self employed,2,yes,Yes,High
0-200 DM,16,critical account,new car,1175,< 100 DM,unemployed,2,male:single,none,3,car or other,68,none,free,3,Unemployed,1,yes,Yes,Low
0 DM,12,existing credits paid,radio/television,674,100-500 DM,4-7 years,4,male:married,none,1,building society savings agreement/ life insurance,20,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,18,none/all paid back,furniture/equipment,3244,< 100 DM,1-4 years,1,female:divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,business,4591,>1000 DM,1-4 years,2,male:single,none,3,building society savings agreement/ life insurance,54,none,own,3,management/self employed,1,yes,Yes,High
0-200 DM,48,none/all paid back,business,3844,100-500 DM,4-7 years,4,male:single,none,4,unknown/no property,34,none,free,1,unskilled/resident,2,None,Yes,High
0-200 DM,27,existing credits paid,business,3915,< 100 DM,1-4 years,4,male:single,none,2,car or other,36,none,own,1,skilled employee,2,yes,Yes,High
No checking account,6,existing credits paid,radio/television,2108,< 100 DM,4-7 years,2,male:married,none,2,real estate,29,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,45,existing credits paid,radio/television,3031,100-500 DM,1-4 years,4,male:single,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,High
0-200 DM,9,critical account,education,1501,< 100 DM,>7 years,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,management/self employed,1,yes,Yes,High
No checking account,6,critical account,radio/television,1382,< 100 DM,1-4 years,1,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee,1,yes,Yes,Low
0-200 DM,12,existing credits paid,furniture/equipment,951,100-500 DM,<1 year,4,female:divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee,1,None,Yes,High
0-200 DM,24,existing credits paid,used car,2760,no savings,>7 years,4,male:single,none,4,unknown/no property,36,bank,free,1,skilled employee,1,yes,Yes,Low
0-200 DM,18,historical delay in payment,furniture/equipment,4297,< 100 DM,>7 years,4,male:divorced/separated,none,3,unknown/no property,40,none,own,1,management/self employed,1,yes,Yes,High
No checking account,9,critical account,education,936,500-1000 DM,>7 years,4,male:single,none,2,car or other,52,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,12,existing credits paid,new car,1168,< 100 DM,1-4 years,4,male:married,none,3,real estate,27,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,27,historical delay in payment,business,5117,< 100 DM,4-7 years,3,male:single,none,4,car or other,26,none,own,2,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,retaining,902,< 100 DM,4-7 years,4,male:married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,High
No checking account,12,critical account,new car,1495,< 100 DM,>7 years,4,male:single,none,1,real estate,38,none,own,2,unskilled/resident,2,None,Yes,Low
0 DM,30,critical account,used car,10623,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,38,none,free,3,management/self employed,2,yes,Yes,Low
No checking account,12,critical account,furniture/equipment,1935,< 100 DM,>7 years,4,male:single,none,4,real estate,43,none,own,3,skilled employee,1,yes,Yes,Low
0-200 DM,12,critical account,domestic appliances,1424,< 100 DM,4-7 years,4,male:single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,business,6568,< 100 DM,1-4 years,2,male:married,none,2,car or other,21,stores,own,1,unskilled/resident,1,None,Yes,Low
No checking account,12,existing credits paid,used car,1413,>1000 DM,4-7 years,3,male:single,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee,1,None,No,Low
No checking account,9,critical account,radio/television,3074,no savings,1-4 years,1,male:single,none,2,real estate,33,none,own,2,skilled employee,2,None,Yes,Low
No checking account,36,existing credits paid,radio/television,3835,no savings,>7 years,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,unskilled/resident,1,yes,Yes,Low
0 DM,27,none/all paid back,business,5293,< 100 DM,unemployed,2,male:single,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee,1,yes,Yes,High
>200 DM,30,historical delay in payment,business,1908,< 100 DM,>7 years,4,male:single,none,4,real estate,66,none,own,1,management/self employed,1,yes,Yes,High
No checking account,36,critical account,radio/television,3342,no savings,>7 years,4,male:single,none,2,car or other,51,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,6,critical account,retaining,932,no savings,4-7 years,1,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,18,none/all paid back,business,3104,< 100 DM,4-7 years,3,male:single,none,1,building society savings agreement/ life insurance,31,bank,own,1,skilled employee,1,yes,Yes,Low
>200 DM,36,existing credits paid,radio/television,3913,< 100 DM,1-4 years,2,male:single,none,2,real estate,23,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,24,existing credits paid,furniture/equipment,3021,< 100 DM,1-4 years,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled/resident,1,None,Yes,Low
No checking account,10,existing credits paid,new car,1364,< 100 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,12,existing credits paid,radio/television,625,< 100 DM,<1 year,4,male:married,guarantor,1,real estate,26,bank,own,1,unskilled/resident,1,None,Yes,Low
0 DM,12,existing credits paid,education,1200,no savings,1-4 years,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,radio/television,707,< 100 DM,1-4 years,4,male:single,none,2,real estate,30,bank,own,2,skilled employee,1,None,Yes,Low
No checking account,24,historical delay in payment,business,2978,no savings,1-4 years,4,male:single,none,4,real estate,32,none,own,2,skilled employee,2,yes,Yes,Low
No checking account,15,existing credits paid,used car,4657,< 100 DM,1-4 years,3,male:single,none,2,car or other,30,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,36,none/all paid back,repairs,2613,< 100 DM,1-4 years,4,male:single,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,48,existing credits paid,radio/television,10961,>1000 DM,4-7 years,1,male:single,co-applicant,2,unknown/no property,27,bank,own,2,skilled employee,1,yes,Yes,High
0 DM,12,existing credits paid,furniture/equipment,7865,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,53,none,free,1,management/self employed,1,yes,Yes,High
No checking account,9,existing credits paid,radio/television,1478,< 100 DM,4-7 years,4,male:single,none,2,car or other,22,none,own,1,skilled employee,1,None,Yes,High
0 DM,24,existing credits paid,furniture/equipment,3149,< 100 DM,<1 year,4,male:single,none,1,unknown/no property,22,bank,free,1,skilled employee,1,None,Yes,Low
>200 DM,36,existing credits paid,radio/television,4210,< 100 DM,1-4 years,4,male:single,none,2,car or other,26,none,own,1,skilled employee,1,None,Yes,High
No checking account,9,existing credits paid,new car,2507,500-1000 DM,>7 years,2,male:single,none,4,unknown/no property,51,none,free,1,unskilled/resident,1,None,Yes,Low
No checking account,12,existing credits paid,radio/television,2141,100-500 DM,4-7 years,3,male:single,none,1,unknown/no property,35,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,18,existing credits paid,radio/television,866,< 100 DM,1-4 years,4,male:married,guarantor,2,real estate,25,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,4,critical account,radio/television,1544,< 100 DM,4-7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled/resident,2,None,Yes,Low
0 DM,24,existing credits paid,radio/television,1823,< 100 DM,unemployed,4,male:single,none,2,car or other,30,stores,own,1,management/self employed,2,None,Yes,High
0-200 DM,6,existing credits paid,new car,14555,no savings,unemployed,1,male:single,none,2,building society savings agreement/ life insurance,23,none,own,1,Unemployed,1,yes,Yes,High
0-200 DM,21,existing credits paid,business,2767,100-500 DM,>7 years,4,male:divorced/separated,none,2,car or other,61,bank,rent,2,unskilled/resident,1,None,Yes,High
No checking account,12,critical account,radio/television,1291,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,Low
0 DM,30,existing credits paid,radio/television,2522,< 100 DM,>7 years,1,male:single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee,2,None,Yes,Low
0 DM,24,existing credits paid,new car,915,no savings,>7 years,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,High
No checking account,6,existing credits paid,radio/television,1595,< 100 DM,4-7 years,3,male:single,none,2,building society savings agreement/ life insurance,51,none,own,1,skilled employee,2,None,Yes,Low
0 DM,48,none/all paid back,used car,4605,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,24,none,free,2,skilled employee,2,None,Yes,High
No checking account,12,critical account,business,1185,< 100 DM,1-4 years,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee,1,None,Yes,Low
No checking account,12,all credits at this bank paid back,retaining,3447,500-1000 DM,1-4 years,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled/resident,2,None,Yes,Low
No checking account,24,existing credits paid,business,1258,< 100 DM,4-7 years,4,male:single,none,1,real estate,25,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,12,critical account,radio/television,717,< 100 DM,>7 years,4,male:single,none,4,real estate,52,none,own,3,skilled employee,1,None,Yes,Low
No checking account,6,none/all paid back,new car,1204,100-500 DM,1-4 years,4,male:single,none,1,unknown/no property,35,bank,rent,1,skilled employee,1,None,No,Low
>200 DM,24,existing credits paid,furniture/equipment,1925,< 100 DM,1-4 years,2,male:single,none,2,real estate,26,none,own,1,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,radio/television,433,< 100 DM,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee,1,None,Yes,High
0 DM,6,critical account,new car,666,>1000 DM,4-7 years,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled/resident,1,yes,Yes,Low
>200 DM,12,existing credits paid,furniture/equipment,2251,< 100 DM,1-4 years,1,female:divorced/separated/married,none,2,car or other,46,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,30,existing credits paid,new car,2150,< 100 DM,1-4 years,4,female:divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee,1,None,Yes,High
No checking account,24,historical delay in payment,furniture/equipment,4151,100-500 DM,1-4 years,2,male:single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,9,existing credits paid,furniture/equipment,2030,no savings,4-7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,60,historical delay in payment,radio/television,7418,no savings,1-4 years,1,male:single,none,1,real estate,27,none,own,1,unskilled/resident,1,None,Yes,Low
No checking account,24,critical account,radio/television,2684,< 100 DM,1-4 years,4,male:single,none,2,real estate,35,none,own,2,unskilled/resident,1,None,Yes,Low
0 DM,12,all credits at this bank paid back,radio/television,2149,< 100 DM,1-4 years,4,male:divorced/separated,none,1,unknown/no property,29,none,free,1,skilled employee,1,None,Yes,High
No checking account,15,existing credits paid,used car,3812,100-500 DM,<1 year,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee,1,yes,Yes,Low
No checking account,11,critical account,radio/television,1154,100-500 DM,unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled/resident,1,None,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,1657,< 100 DM,1-4 years,2,male:single,none,2,real estate,27,none,own,1,skilled employee,1,None,Yes,Low
0 DM,24,existing credits paid,radio/television,1603,< 100 DM,>7 years,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee,1,None,Yes,Low
0 DM,18,critical account,new car,5302,< 100 DM,>7 years,2,male:single,none,4,unknown/no property,36,none,free,3,management/self employed,1,yes,Yes,Low
No checking account,12,critical account,education,2748,< 100 DM,>7 years,2,female:divorced/separated/married,none,4,unknown/no property,57,bank,free,3,unskilled/resident,1,None,Yes,Low
No checking account,10,critical account,new car,1231,< 100 DM,>7 years,3,male:single,none,4,real estate,32,none,own,2,unskilled/resident,2,None,No,Low
0-200 DM,15,existing credits paid,radio/television,802,< 100 DM,>7 years,4,male:single,none,3,car or other,37,none,own,1,skilled employee,2,None,Yes,High
No checking account,36,critical account,business,6304,no savings,>7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,None,Yes,Low
No checking account,24,existing credits paid,radio/television,1533,< 100 DM,<1 year,4,female:divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee,1,yes,Yes,Low
0 DM,14,existing credits paid,new car,8978,< 100 DM,>7 years,1,male:divorced/separated,none,4,building society savings agreement/ life insurance,45,none,own,1,management/self employed,1,yes,No,High
No checking account,24,existing credits paid,radio/television,999,no savings,>7 years,4,male:single,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,Low
No checking account,18,existing credits paid,new car,2662,no savings,4-7 years,4,male:single,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,No,Low
No checking account,12,critical account,furniture/equipment,1402,500-1000 DM,4-7 years,3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee,1,yes,Yes,Low
0-200 DM,48,all credits at this bank paid back,new car,12169,no savings,unemployed,4,male:single,co-applicant,4,unknown/no property,36,none,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,48,existing credits paid,radio/television,3060,< 100 DM,4-7 years,4,male:single,none,4,real estate,28,none,own,2,skilled employee,1,None,Yes,High
0 DM,30,existing credits paid,repairs,11998,< 100 DM,<1 year,1,male:divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled/resident,1,yes,Yes,High
No checking account,9,existing credits paid,radio/television,2697,< 100 DM,1-4 years,1,male:single,none,2,real estate,32,none,own,1,skilled employee,2,None,Yes,Low
No checking account,18,critical account,radio/television,2404,< 100 DM,1-4 years,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee,1,None,Yes,Low
0 DM,12,existing credits paid,furniture/equipment,1262,no savings,>7 years,2,male:divorced/separated,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled/resident,1,yes,Yes,Low
No checking account,6,existing credits paid,furniture/equipment,4611,< 100 DM,<1 year,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,Yes,High
No checking account,24,existing credits paid,radio/television,1901,100-500 DM,1-4 years,4,male:single,none,4,car or other,29,none,rent,1,management/self employed,1,yes,Yes,Low
No checking account,15,critical account,used car,3368,>1000 DM,>7 years,3,male:single,none,4,unknown/no property,23,none,rent,2,skilled employee,1,yes,Yes,Low
No checking account,12,existing credits paid,furniture/equipment,1574,< 100 DM,1-4 years,4,male:single,none,2,real estate,50,none,own,1,skilled employee,1,None,Yes,Low
>200 DM,18,all credits at this bank paid back,radio/television,1445,no savings,4-7 years,4,male:single,none,4,car or other,49,bank,own,1,unskilled/resident,1,None,Yes,Low
No checking account,15,critical account,furniture/equipment,1520,no savings,>7 years,4,male:single,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,24,critical account,new car,3878,100-500 DM,<1 year,4,male:divorced/separated,none,2,car or other,37,none,own,1,skilled employee,1,yes,Yes,Low
0 DM,47,existing credits paid,new car,10722,< 100 DM,<1 year,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled/resident,1,yes,Yes,Low
0 DM,48,existing credits paid,used car,4788,< 100 DM,4-7 years,4,male:single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,2,None,Yes,Low
0-200 DM,48,historical delay in payment,used car0,7582,100-500 DM,unemployed,2,male:single,none,4,unknown/no property,31,none,free,1,management/self employed,1,yes,Yes,Low
0-200 DM,12,existing credits paid,radio/television,1092,< 100 DM,1-4 years,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee,1,yes,Yes,Low
0 DM,24,historical delay in payment,radio/television,1024,< 100 DM,<1 year,4,male:married,none,4,real estate,48,stores,own,1,skilled employee,1,None,Yes,High
No checking account,12,existing credits paid,business,1076,< 100 DM,1-4 years,2,male:married,none,2,real estate,26,none,own,1,skilled employee,1,yes,No,Low
0-200 DM,36,existing credits paid,used car,9398,< 100 DM,<1 year,1,male:married,none,4,car or other,28,none,rent,1,management/self employed,1,yes,Yes,High
0 DM,24,critical account,used car,6419,< 100 DM,>7 years,2,female:divorced/separated/married,none,4,unknown/no property,44,none,free,2,management/self employed,2,yes,Yes,Low
>200 DM,42,critical account,used car,4796,< 100 DM,>7 years,4,male:single,none,4,unknown/no property,56,none,free,1,skilled employee,1,None,Yes,Low
No checking account,48,critical account,business,7629,no savings,>7 years,4,male:divorced/separated,none,2,car or other,46,bank,own,2,management/self employed,2,None,Yes,Low
0-200 DM,48,existing credits paid,furniture/equipment,9960,< 100 DM,<1 year,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee,1,yes,Yes,High
No checking account,12,existing credits paid,used car,4675,no savings,<1 year,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,Low
No checking account,10,existing credits paid,new car,1287,no savings,>7 years,4,male:single,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled/resident,1,None,No,Low
No checking account,18,existing credits paid,furniture/equipment,2515,< 100 DM,1-4 years,3,male:single,none,4,real estate,43,none,own,1,skilled employee,1,yes,Yes,Low
0-200 DM,21,critical account,furniture/equipment,2745,>1000 DM,4-7 years,3,male:single,none,2,car or other,32,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,6,existing credits paid,new car,672,< 100 DM,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,Unemployed,1,yes,Yes,Low
0-200 DM,36,none/all paid back,radio/television,3804,< 100 DM,1-4 years,4,female:divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee,1,yes,Yes,High
>200 DM,24,critical account,new car,1344,no savings,4-7 years,4,male:single,none,2,real estate,37,bank,own,2,unskilled/resident,2,None,Yes,High
0 DM,10,critical account,new car,1038,< 100 DM,4-7 years,4,male:single,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee,1,yes,Yes,Low
No checking account,48,critical account,new car,10127,500-1000 DM,1-4 years,2,male:single,none,2,unknown/no property,44,bank,free,1,skilled employee,1,None,Yes,High
No checking account,6,existing credits paid,furniture/equipment,1543,>1000 DM,1-4 years,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee,1,None,Yes,Low
No checking account,30,existing credits paid,used car,4811,no savings,4-7 years,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,rent,1,unskilled/resident,1,None,Yes,Low
0 DM,12,existing credits paid,radio/television,727,100-500 DM,<1 year,4,male:married,none,3,unknown/no property,33,none,own,1,unskilled/resident,1,yes,Yes,High
0-200 DM,8,existing credits paid,furniture/equipment,1237,< 100 DM,1-4 years,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee,1,None,Yes,High
0-200 DM,9,existing credits paid,new car,276,< 100 DM,1-4 years,4,male:married,none,4,real estate,22,none,rent,1,unskilled/resident,1,None,Yes,Low
0-200 DM,48,existing credits paid,used car0,5381,no savings,unemployed,3,male:single,none,4,unknown/no property,40,bank,free,1,Unemployed,1,yes,Yes,Low
No checking account,24,existing credits paid,furniture/equipment,5511,100-500 DM,1-4 years,4,male:single,none,1,car or other,25,stores,own,1,skilled employee,1,None,Yes,Low
>200 DM,24,existing credits paid,furniture/equipment,3749,< 100 DM,<1 year,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,12,existing credits paid,new car,685,< 100 DM,4-7 years,2,male:married,none,3,car or other,25,bank,own,1,unskilled/resident,1,None,Yes,High
>200 DM,4,existing credits paid,new car,1494,no savings,<1 year,1,male:single,none,2,real estate,29,none,own,1,unskilled/resident,2,None,No,Low
0 DM,36,all credits at this bank paid back,furniture/equipment,2746,< 100 DM,>7 years,4,male:single,none,4,car or other,31,bank,own,1,skilled employee,1,None,Yes,High
0 DM,12,existing credits paid,furniture/equipment,708,< 100 DM,1-4 years,2,male:single,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled/resident,2,None,Yes,Low
0-200 DM,24,existing credits paid,furniture/equipment,4351,no savings,1-4 years,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled/resident,1,yes,Yes,Low
No checking account,12,critical account,education,701,< 100 DM,1-4 years,4,male:single,none,2,car or other,32,none,own,2,skilled employee,1,None,Yes,Low
0 DM,15,historical delay in payment,furniture/equipment,3643,< 100 DM,>7 years,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,30,critical account,new car,4249,< 100 DM,unemployed,4,male:married,none,2,car or other,28,none,own,2,management/self employed,1,None,Yes,High
0 DM,24,existing credits paid,radio/television,1938,< 100 DM,<1 year,4,male:divorced/separated,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,Yes,High
0 DM,24,existing credits paid,used car,2910,< 100 DM,4-7 years,2,male:single,none,1,unknown/no property,34,none,free,1,management/self employed,1,yes,Yes,Low
0 DM,18,existing credits paid,furniture/equipment,2659,>1000 DM,1-4 years,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,None,Yes,Low
No checking account,18,critical account,new car,1028,< 100 DM,1-4 years,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee,1,None,Yes,Low
0 DM,8,critical account,new car,3398,< 100 DM,4-7 years,1,male:single,none,4,real estate,39,none,own,2,unskilled/resident,1,None,No,Low
No checking account,12,critical account,furniture/equipment,5801,no savings,>7 years,2,male:single,none,4,building society savings agreement/ life insurance,49,none,rent,1,skilled employee,1,yes,Yes,Low
No checking account,24,existing credits paid,new car,1525,>1000 DM,4-7 years,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee,2,yes,Yes,Low
>200 DM,36,existing credits paid,radio/television,4473,< 100 DM,>7 years,4,male:single,none,2,car or other,31,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,6,existing credits paid,radio/television,1068,< 100 DM,>7 years,4,male:single,none,4,car or other,28,none,own,1,skilled employee,2,None,Yes,Low
0 DM,24,critical account,used car,6615,< 100 DM,unemployed,2,male:single,none,4,unknown/no property,75,none,free,2,management/self employed,1,yes,Yes,Low
No checking account,18,critical account,education,1864,100-500 DM,1-4 years,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee,1,None,Yes,High
0-200 DM,60,existing credits paid,new car,7408,100-500 DM,<1 year,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,own,1,management/self employed,1,None,Yes,High
No checking account,48,critical account,used car,11590,100-500 DM,1-4 years,2,female:divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled/resident,1,None,Yes,High
0 DM,24,none/all paid back,furniture/equipment,4110,< 100 DM,>7 years,3,male:single,none,4,unknown/no property,23,bank,rent,2,skilled employee,2,None,Yes,High
0 DM,6,critical account,furniture/equipment,3384,< 100 DM,1-4 years,1,male:divorced/separated,none,4,real estate,44,none,rent,1,management/self employed,1,yes,Yes,High
0-200 DM,13,existing credits paid,radio/television,2101,< 100 DM,<1 year,2,female:divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled/resident,1,None,Yes,Low
0 DM,15,existing credits paid,domestic appliances,1275,no savings,1-4 years,4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee,1,None,Yes,High
0 DM,24,existing credits paid,furniture/equipment,4169,< 100 DM,1-4 years,4,male:single,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee,1,None,Yes,Low
0-200 DM,10,existing credits paid,furniture/equipment,1521,< 100 DM,1-4 years,4,male:divorced/separated,none,2,car or other,31,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,24,critical account,education,5743,< 100 DM,<1 year,2,female:divorced/separated/married,none,4,unknown/no property,24,none,free,2,skilled employee,1,yes,Yes,Low
0 DM,21,existing credits paid,furniture/equipment,3599,< 100 DM,4-7 years,1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled/resident,1,None,Yes,Low
0-200 DM,18,existing credits paid,radio/television,3213,500-1000 DM,<1 year,1,male:married,none,3,real estate,25,none,rent,1,skilled employee,1,None,Yes,Low
0-200 DM,18,existing credits paid,business,4439,< 100 DM,>7 years,1,male:single,co-applicant,1,real estate,33,bank,own,1,management/self employed,1,yes,Yes,Low
>200 DM,10,existing credits paid,new car,3949,< 100 DM,<1 year,1,male:single,guarantor,1,building society savings agreement/ life insurance,37,none,own,1,unskilled/resident,2,None,Yes,Low
No checking account,15,critical account,radio/television,1459,< 100 DM,1-4 years,4,female:divorced/separated/married,none,2,car or other,43,none,own,1,unskilled/resident,1,None,Yes,Low
0-200 DM,13,critical account,radio/television,882,< 100 DM,<1 year,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee,1,None,Yes,Low
0-200 DM,24,existing credits paid,radio/television,3758,500-1000 DM,unemployed,1,female:divorced/separated/married,none,4,unknown/no property,23,none,rent,1,Unemployed,1,None,Yes,Low
No checking account,6,historical delay in payment,business,1743,100-500 DM,1-4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled/resident,1,None,Yes,Low
0-200 DM,9,critical account,education,1136,>1000 DM,>7 years,4,male:single,none,3,unknown/no property,32,none,free,2,skilled employee,2,None,Yes,High
